SMS,Keterangan
"Sayangg kamu kangen ngga sama aku sekarang?
pliss jawab iya KANGEN BANGET",SMS NORMAL
Sayang besok kamu free ngga? kita malam mingguan yuk,SMS NORMAL
Hai kamu udah makan belum?,SMS NORMAL
kamu tau ngga tempat wisata menarik di jakarta?,SMS NORMAL
Ternyata donut rasa macha ini enak juga ya kalau dikasih keju,SMS NORMAL
"Din kamu tau ngga besok kita perlu bawa apa saja untuk praktek ujian seni budaya,aku lupa hehehehe",SMS NORMAL
kenapa semuanya ngga ada yang percaya sama dia ya?padahal dia orangnya baik,SMS NORMAL
Kepada seluruh siswa kelas 5A besok akan diadakan gladiresik untuk persiapan acara penyambutan kepala mentri pendidikan,SMS NORMAL
Hai sepertinya aku kenal kamu deh,SMS NORMAL
Makan Solaria sekarang diskonya 40%,SMS NORMAL
